idx,caption,label,entities,factcheck_score,entailment_score,contradiction_score,neutral_score,wiki_context_length,status,n_chunks,top_chunks_used,avg_top_sim
12,This Lego dragon was found on a beach in Brighton by artist Ella Robinson,True,Lego|Brighton|Ella Robinson,-0.000329,0.000572,0.0009,0.998528,1500,ok,10,2,0.049598099367019644
13,This piece of plastic appears to be part of a Lego crate which may have contained some of the lost toys,True,Lego,1.1e-05,0.000475,0.000464,0.999062,1500,ok,7,1,0.1054228484730065
14,Battir in the Bethlehem governorate has been proposed as a UNESCO world heritage site,True,Battir|Bethlehem|UNESCO,0.358524,0.364512,0.005988,0.629499,1500,ok,23,3,0.10750184017273774
15,River Markland age four found this octopus at Castle Beach in Falmouth,True,Castle Beach|Falmouth,0.385221,0.611265,0.226043,0.162692,775,ok,4,1,0.07945859135890578
16,Patricia Denis found a Lego flipper similar to those from the Tokio Express in Melbourne Australia,True,Patricia Denis|Lego|the Tokio Express|Melbourne,-0.000383,0.000454,0.000837,0.998708,1500,ok,13,2,0.05439081261138469
17,The Livingstones with three of their children in 1850 Lake Ngami,True,Livingstones|Lake Ngami,0.007265,0.008455,0.00119,0.990355,1500,ok,3,1,0.1419175666035419
18,These pieces were found by Ally Atkinson in the Lizard Gunwalloe and Poldhu in southern Cornwall,True,Ally Atkinson|the Lizard Gunwalloe|Poldhu|Cornwall,-0.016911,0.013524,0.030435,0.95604,1500,ok,10,2,0.056053011832148704
19,The report recommends better working between NHS 24 and the Scottish Ambulance Service,True,NHS|the Scottish Ambulance Service,0.000194,0.000444,0.00025,0.999306,1500,ok,4,1,0.07480932053301242
20,Enid Blyton pictured with daughters Gillian and Imogen was a prolific writer,True,Enid Blyton|Gillian|Imogen,-6.9e-05,0.000239,0.000308,0.999454,1500,ok,12,3,0.06948965561171394
21,Scotgold hope to extract gold and silver from the mine which is based at Cononish,True,Cononish,0.007172,0.007748,0.000576,0.991676,1500,ok,9,1,0.11990072107262266
22,Plymouth University chairman of governors William Taylor faces allegations of sexual harassment,True,Plymouth University|William Taylor,7.1e-05,0.00028,0.000209,0.999511,1500,ok,22,2,0.0838541831481904
23,Laura Ferris 11 found these assorted Lego items at Penhale near Perranporth Cornwall,True,Laura Ferris 11|Lego|Penhale|Cornwall,-0.000388,0.000485,0.000873,0.998641,1500,ok,14,3,0.05656733926850602
24,Police want to speak to the woman dressed as the Incredible Hulk character,True,Police|the woman|the Incredible Hulk character,0.003472,0.003862,0.00039,0.995748,1500,ok,6,1,0.0495916915404317
25,These items were caught in a fisherman s net 25 miles out to sea off the Cornish coast,True,Cornish,0.011469,0.017334,0.005864,0.976802,803,ok,7,1,0.08354850249400762
26,The university has appointed a barrister to support their investigation into allegations against Mr Taylor,True,Taylor,-0.781969,0.09153,0.873499,0.034971,1144,ok,7,1,0.11693448831434666
27,Members of the Pickard family hold some of the dragons found by their relative Margaret when in her 80s,True,Pickard|Margaret,0.331778,0.369351,0.037573,0.593076,1500,ok,15,2,0.05979485100635698
28,According to the Solar Trade Association over 34000 are employed in the industry,True,the Solar Trade Association,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
29,The recall affects millions of cables sold with Surface Pro tablets,True,Surface Pro,0.560647,0.5676,0.006954,0.425446,769,ok,2,1,0.15176522992947597
30,The woman dressed as the Incredible Hulk had green body paint and dyed red hair,True,the Incredible Hulk,0.04912,0.053391,0.004271,0.942337,1500,ok,5,1,0.10638591119555647
31,Deployment of rooftop solar installations in the UK has increased significantly in recent years,True,UK,-0.126765,0.019413,0.146178,0.834409,1500,ok,4,1,0.04515157700465398
32,The whale has tipped onto its side and is floating near Joppa beach,True,Joppa,-0.849711,0.048539,0.89825,0.053211,613,ok,5,1,0.09952901549803994
33,Stelfox s also starred in Common As Muck and Making Out,True,Stelfox|Muck,-0.900796,0.040918,0.941714,0.017368,897,ok,9,2,0.10420044312302439
34,The two crashes caused hours of delays on the motorway and surrounding roads,True,The two crashes|hours|delays|the motorway,0.002522,0.003831,0.00131,0.994859,1500,ok,18,2,0.0525937010999319
35,BBC Newsnight s Paul Mason spoke to migrants who claimed that they were pushed back from Spanish waters,True,BBC|Paul Mason|Spanish,0.000267,0.000369,0.000102,0.999529,1500,ok,10,3,0.08985053503207392
36,The city council is responsible for removing the sperm whale s carcass,True,The city council|the sperm whale|carcass,0.717833,0.79316,0.075328,0.131512,748,ok,5,1,0.05410132089706349
37,Stelfox was in the first series of Keeping Up Appearances with Judy Cornwell,True,Judy Cornwell,0.211969,0.213131,0.001162,0.785707,1373,ok,6,1,0.18489398939526028
38,Conservative chairman Grant Shapps said Britain had negotiated lots of impossible things from the EU,True,Grant Shapps|Britain|EU,-0.000139,0.000476,0.000615,0.998908,1500,ok,15,3,0.05483192959269259
39,Horsing around Mr Trippe helped save this horse two weeks ago,True,Trippe,0.2491,0.344476,0.095376,0.560149,838,ok,3,1,0.05636826221535257
40,The ship listed and sank on 16 April 2014 capsizing over a threehour period,True,The ship|16 April|a threehour period,-0.987164,0.002517,0.989681,0.007802,1500,ok,6,1,0.0430873135746793
41,I asked my mate to take a couple of photos he was nt too keen but he took them Mr Trippe told the BBC,True,Trippe|BBC,0.010851,0.011954,0.001103,0.986943,1500,ok,7,2,0.055834291205154526
42,Qantas was one of the airlines that rolled the fuel charge into its basic fare last year,True,Qantas,0.000181,0.000281,0.0001,0.999619,1500,ok,6,1,0.08190475357508704
43,The government wants to get net migration below 100000 a year,True,The government|net migration,0.002286,0.003781,0.001495,0.994724,1500,ok,20,2,0.098773125993207
44,BA is one of the airlines charging a carrier imposed surcharge,True,BA,0.397431,0.477413,0.079982,0.442605,619,ok,11,1,0.06078506680031359
45,The Bunker Diary is one of ten Young Adult novels from author Kevin Brooks,True,Young Adult|Kevin Brooks,0.001031,0.002455,0.001424,0.996121,1500,ok,6,2,0.16238842407148116
46,The Sewol ferry disaster left 304 people mostly teenage students dead or missing,True,Sewol,0.067047,0.081961,0.014914,0.903126,1500,ok,7,1,0.08231548818290513
47,Damien Hirst s The Physical Impossibility of Death in the Mind of Someone Living was commissioned by art collector Charles Saatchi,True,Damien Hirst|Charles Saatchi,0.001155,0.001764,0.000609,0.997628,1500,ok,15,2,0.14170059078531003
48,There is evidence the children were thrown down the well after the adults,True,evidence|the children|the adults,0.034915,0.039422,0.004507,0.95607,1500,ok,5,1,0.09629821168896403
49,Los Zetas leader Omar Trevino was arrested by the Mexican authorities in March,True,Los Zetas|Omar Trevino|Mexican,-8.1e-05,0.000176,0.000257,0.999567,1500,ok,11,2,0.07544413945088238
50,Ryan Newman driver of the No 39 Chevrolet was born in South Bend Indiana on December 8 1977,True,Ryan Newman|Chevrolet|South Bend Indiana,0.001995,0.002416,0.000421,0.997162,1500,ok,5,2,0.18454368193074652
51,Northwestern s Brian Arnfelt hosts the Gator Bowl trophy after the 3420 win over Mississippi State,True,Northwestern|Brian Arnfelt|the Gator Bowl|Mississippi,0.239972,0.406888,0.166916,0.426196,1500,ok,16,3,0.06407089271876504
52,Demonstrators shout insults at members of the Baltimore Police as they stand guard outside the Western District station,True,the Baltimore Police|Western District,0.405912,0.577023,0.171111,0.251866,870,ok,3,1,0.11332135232546507
53,With new seatback systems expanded video libraries and even iPads loaded with programs and games airlines are upgrading the inflight entertainment for passengers,True,iPads,7.2e-05,0.000497,0.000425,0.999078,1500,ok,3,1,0.015712823548270523
54,A US Navy boat conducts an exercise in the Arabian Sea on June 12 2012,True,US Navy|the Arabian Sea,0.024042,0.032697,0.008655,0.958648,1500,ok,17,2,0.0553001325277889
55,The outlook for US airlines is sunny according to a trade group,True,US,-0.999851,1.9e-05,0.99987,0.000111,1500,ok,4,1,0.0
56,The leaderboard tells the story Tiger Woods is in front leading into the final round Woods actually birdied the 18th to get to 18 under,True,Tiger Woods|Woods,1.2e-05,0.000648,0.000637,0.998715,1500,ok,10,2,0.096738937699347
57,At the Ralph Lauren Fall 2009 fashion show during New York Fashion Week on February 20 2009,True,the Ralph Lauren|New York Fashion Week,-0.003024,0.00359,0.006614,0.989796,1500,ok,11,1,0.15317737080741248
58,Nebraska coach Mike Riley and former Oregon State student and sexual assault victim Brenda Tracy met for the first time Wednesday in Lincoln Neb,True,Nebraska|Mike Riley|Oregon State|Brenda Tracy,-0.000434,0.000571,0.001005,0.998424,1500,ok,15,3,0.08258250555223935
59,Cast members Chris Evans left Samuel L Jackson and Tom Hiddleston were on hand to accept the movie of the year award for Marvel s The Avengers,True,Chris Evans|Samuel L Jackson|Tom Hiddleston,0.002312,0.00361,0.001298,0.995092,1500,ok,14,3,0.07343350844609829
60,Nov 15 2014 Mavericks forward Richard Jefferson dunks against the Timberwolves,True,Mavericks|Richard Jefferson|Timberwolves,-0.449823,0.244221,0.694044,0.061735,1500,ok,35,3,0.0833484813357534
61,Florida State Seminoles running back Devonta Freeman runs the ball during the first quarter against the Duke Blue Devils at Bank of America Stadium,True,Florida|Seminoles|Devonta Freeman|Bank of America Stadium,0.000299,0.002013,0.001714,0.996274,1500,ok,26,4,0.07562464031690816
62,Runners take off at the start of the Firecracker 5K in Port Carbon Pa,True,Port Carbon Pa,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
63,Michael Dell at the fifth annual Dell Women s Entrepreneur Network meeting in Austin,True,Michael Dell|Dell Women s Entrepreneur Network|Austin,0.002934,0.006621,0.003687,0.989692,1500,ok,20,2,0.07646002775692844
64,Houston linebacker Emeke Egbule returns a fumble against for a touchdown against Tulsa,True,Houston|Tulsa,-0.975657,0.000782,0.976439,0.022779,1500,ok,12,2,0.05071452585313534
65,The Postal Service is hiring 30000 seasonal workers to handle the overload of mailings,True,The Postal Service,-0.00568,0.014415,0.020095,0.965489,1500,ok,6,1,0.04347185091853837
66,A giant sculpture of a Giraffe wearing a swimsuit and buoy by artist Jean Francois Fourtou named GiGi is a focal point of Anthem of the Seas exterior decks,True,Giraffe|Jean Francois Fourtou|GiGi|Anthem,-0.000439,0.008637,0.009076,0.982287,1500,ok,25,3,0.03361495808520262
67,Crews work to clean up Sunday morning in Rehoboth Beach following coastal flooding The storm caused severe coastal erosion and damage to the boardwalk,True,Rehoboth Beach,-0.000928,0.00029,0.001218,0.998491,1500,ok,5,1,0.08060483527316993
68,Parents and Danvers High School students hold candlelight vigil to mourn the death of Colleen Ritzer a 24yearold math teacher at Danvers High School on Wednesday Oct 23 2013,True,Danvers High School|Colleen Ritzer,-0.416725,0.010199,0.426924,0.562877,1500,ok,11,1,0.22447406083210256
69,Businessman and coowner of the Philadelphia Inquirer Lewis Katz walks from a courtroom in City Hall in Philadelphia on Oct 28 2013,True,the Philadelphia Inquirer Lewis Katz|City Hall|Philadelphia,0.011546,0.013869,0.002324,0.983807,1500,ok,8,2,0.07397709728010794
70,Michael Dunn is brought into the Duval County Courthouse in Jacksonville Fla for a hearing on Aug 15 2013,True,Michael Dunn|Jacksonville Fla,-0.851021,0.05782,0.908841,0.033339,1093,ok,1,1,0.20505084809022064
71,West Virginia Mountaineers head coach Dana Holgorsen speaks to the media during the Big 12 Media Day at the Omni Dallas,True,Dana Holgorsen|Omni|Dallas,-0.000733,0.00142,0.002153,0.996427,1500,ok,19,3,0.06631560516220979
72,Sanders speaks about the Workplace Democracy Act on Capitol Hill on Oct 6 2015,True,Sanders|Capitol Hill,0.004633,0.004976,0.000344,0.99468,1500,ok,13,2,0.0673377843425511
73,George Clooney attends the Money Monster press conference during the 69th annual Cannes Film Festival,True,George Clooney|Money Monster|Cannes Film Festival,0.001124,0.00169,0.000565,0.997745,1500,ok,16,3,0.10312337622285811
74,Navy Midshipmen march on the the field prior to the game against the Fordham Rams at Navy Marine Corps Memorial Stadium,True,Navy|the Fordham Rams|Navy Marine Corps Memorial,0.000935,0.00388,0.002946,0.993174,1500,ok,3,1,0.06469566224666289
75,Game 1 Tigers shortstop Jhonny Peralta hits an RBI single against the Red Sox during the sixth inning at Fenway Park,True,Jhonny Peralta|RBI|the Red Sox|Fenway Park,0.040228,0.067485,0.027257,0.905258,1500,ok,16,4,0.09381913170181441
76,No 7 Los Angeles A view of downtown taken in 2012,True,Los Angeles|A view|downtown,0.003338,0.004068,0.00073,0.995202,1500,ok,12,2,0.05481286063613377
77,In this Oct 10 2015 file photo North Korean leader Kim Jong Un gestures as he watches a military parade in Pyongyang North Korea,True,North Korean|Kim Jong Un|Pyongyang|North Korea,0.001329,0.001549,0.000221,0.99823,1500,ok,16,4,0.23118912065660166
78,Two women react to the not guilty verdict outside the Seminole County Courthouse in Sanford Fla,True,Seminole County Courthouse|Sanford Fla,-0.999262,7e-05,0.999332,0.000598,145,ok,1,1,0.2595667891400498
79,Butler guard Kellen Dunham and forward Roosevelt Jones will both be back to lead the Bulldogs in 201516,True,Butler|Kellen Dunham|Roosevelt Jones|Bulldogs,0.00033,0.000734,0.000404,0.998861,1500,ok,27,4,0.06462636057016831
80,Unidentified armed men in military style uniforms patrol near an airport building in Simferopol,True,Simferopol,0.002115,0.007354,0.005239,0.987406,1500,ok,11,1,0.0464715717421233
81,Leona Helmsley seen with husband Harry Helmsley was convicted in 1989 of evading 12 million in federal taxes,True,Leona Helmsley|Harry Helmsley,0.000655,0.001688,0.001033,0.99728,1500,ok,11,2,0.13197749767207123
82,Notre Dame blew a late 12point lead before sinking the goahead bucket with 16 seconds left,True,Notre Dame,0.454297,0.666736,0.212439,0.120826,1500,ok,22,1,0.06505261811667296
83,May Myat Noe winner of Miss Asia Pacific World Super talent 2014 holds her crown during a press conference in Yangon on Sept 2 2014,True,May Myat Noe|Miss Asia Pacific World Super|Yangon,0.119,0.127303,0.008303,0.864394,1500,ok,12,2,0.10663725113027392
84,San Francisco 49ers cornerback Tramaine Brock breaks up the pass intended for Arizona Cardinals wide receiver Jaron Brown at Levi s Stadium,True,San Francisco|Tramaine|Brock|Arizona Cardinals,0.004754,0.009135,0.004381,0.986483,1500,ok,28,4,0.05297890669279464
85,Jordan Linn Graham center leaves the federal courthouse in Missoula Mont on Oct 4,True,Jordan Linn Graham|Missoula Mont,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
86,One of the heavy machines in Facebook s new hardware lab is a 5axis water jet that can cut sheets of any material from steel to granite,True,Facebook,3e-06,0.000133,0.00013,0.999738,1500,ok,5,1,0.038253637189060795
87,A Turkish antiriot police officer and an employee of a private security company patrols check as passengers enter the Ataturk airport international arrival terminal on June 29 2016,True,Turkish|Ataturk,0.940636,0.9415,0.000864,0.057636,1500,ok,8,2,0.05091424620993332
88,London McCabe s uncle said the happy little boy loved hats,True,London McCabe s,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
89,Dale Earnhardt Jr saw his day end early after getting caught up in two different crashes,True,Dale Earnhardt Jr,6.1e-05,0.003337,0.003276,0.993387,1500,ok,4,1,0.10696195526356604
90,This screenshot from 930 am ET shows snow moving across the midAtlantic and Northeast,True,midAtlantic|Northeast,0.187077,0.241264,0.054187,0.704549,1500,ok,8,1,0.039352930003543084
91,American Airlines shows off its new look unveiling this Boeing 737800 in updated livery at a ceremony near its Texas headquarters on Jan 17 2013,True,American Airlines|Boeing|Texas,-0.003632,0.020695,0.024327,0.954979,1500,ok,22,3,0.07120667570061508
92,A joint memorial service is held in Ansan South Korea to mark the one year anniversary of the Sewol ferry disaster Video provided by AFP,True,Ansan South Korea|Sewol|AFP,-0.164316,0.065395,0.229711,0.704894,1500,ok,18,2,0.055997603946011575
93,A ceramicandconcrete octopus rises from the playa dust at Burning Man The artist said he wanted to design something that Burners would interact with,True,A ceramicandconcrete octopus|the playa dust|Burning Man|The artist,0.004243,0.004853,0.00061,0.994537,1500,ok,12,2,0.05869523517782149
94,Fashion designer Zac Posen speaks at a Delta event unveiling the airline s new uniforms which Posen helped design,True,Zac Posen|Delta|Posen,0.004974,0.008729,0.003755,0.987515,1500,ok,41,3,0.10974040519287359
95,Will and Kate look delighted as they visit the XLP mentoring project for vulnerable youths,True,Kate|XLP,-0.08606,0.423271,0.509332,0.067397,1500,ok,8,2,0.057957136665506254
96,George Clooney and Jennifer Lopez in a scene from the motion picture Out of Sight,True,George Clooney|Jennifer Lopez,0.002702,0.003967,0.001265,0.994768,1500,ok,8,2,0.07193715774525881
97,Yoenis Cespedes hoists the championship trophy after winning the 2014 Home Run Derby at Target Field,True,Yoenis Cespedes|Target Field,0.050746,0.062804,0.012058,0.925138,1500,ok,15,2,0.07103553556520842
98,A pleasurable way to visit Finca El Ocaso an organic farm outside of Salento is to walk through the scenic countryside down a rapidlydescending road,True,Finca El Ocaso|Salento,0.549294,0.759975,0.210681,0.029344,1500,ok,10,1,0.0220726740408442
99,Traders work on the floor of the New York Stock Exchange,True,the New York Stock Exchange,-0.001808,0.001364,0.003172,0.995465,1500,ok,6,1,0.2102930946265998
100,Robert Ethan Saylor is seen here in this family photo taken during a summer festival in 2012,True,Robert Ethan Saylor,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
101,Corbin Aoyagi a supporter of gay marriage waves a rainbow flag during a rally at the Utah State Capitol on Jan 28,True,Corbin Aoyagi|Utah|Capitol,-0.126491,0.001564,0.128055,0.870382,1500,ok,13,2,0.05585962253325425
102,Veterans from the Kansas Honor Flight watch as the Sentinels begin the Changing of the Guard ceremony,True,Kansas,-0.012852,0.001633,0.014485,0.983882,1500,ok,7,1,0.04972347097177623
103,Jim Lehrer moderates a debate between President Bill Clinton and Republican nominee Bob Dole at the Bushnell Center for Performing Arts in Hartford Conn in 1996,True,Jim Lehrer|Bill Clinton|Republican|Bob Dole,-0.828867,0.012059,0.840927,0.147014,1500,ok,23,4,0.07369714750392378
104,Swiss Guards stand below the balcony where the new pope will appear,True,Swiss Guards,-0.000957,0.00124,0.002198,0.996562,1500,ok,8,1,0.10688022603487439
105,Civilians who fled the recent fighting stack their belongings up outside the gate of the United Nations Mission in South Sudan,True,the United Nations Mission,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
106,US first lady Michelle Obama enters the East Room for a session of a Fashion Education Workshop at the White House on Oct 8 in Washington DC,True,US|Michelle Obama|the East Room|a Fashion Education Workshop,0.003962,0.008601,0.004639,0.98676,1500,ok,7,2,0.03955299826666246
107,A woman lies on a bed at a hospital after she was injured in the earthquake,True,A woman|a bed|a hospital|she,0.960363,0.961758,0.001395,0.036848,1500,ok,20,2,0.04410678313406877
108,People stand under loudspeakers installed for a Hindu festival on a roadside in the northern Indian city of Allahabad,True,Hindu|Indian|Allahabad,0.00191,0.002263,0.000353,0.997383,1500,ok,16,3,0.07964396706711195
109,Colombian President Juan Manuel Santos speaks about the current situation in Colombia at the Wilson Center in Washington on Feb 2,True,Colombian|Juan Manuel Santos|Colombia|the Wilson Center,0.069853,0.076275,0.006421,0.917304,1500,ok,15,4,0.09150816380105307
110,There has been little investigation into burneddown bars or who sprayed bullets into the facade of the El Rincon del Angus steakhouse,True,the El Rincon del Angus,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
111,Ryan Murphy of the United States wins gold in the 100 meter backstroke,True,Ryan Murphy|the United States,0.004374,0.018827,0.014453,0.966719,1500,ok,6,2,0.10466338748085498
112,Redskins running back Matt Jones gets past Ravens cornerback Anthony Levine in the third quarter,True,Redskins|Matt Jones|Ravens|Anthony Levine,-0.880364,0.036298,0.916662,0.047041,1500,ok,20,4,0.07402006346473913
113,Moseley also painted the walls of the laundry room at Birmingham Green,True,Moseley|Birmingham Green,-0.623845,0.015219,0.639063,0.345718,1500,ok,7,1,0.09151971834897236
114,A boy wanders through a field of rice near Dia on Aug 18,True,Dia,-0.221397,0.349648,0.571045,0.079307,1155,ok,10,1,0.04993857347438663
115,Councilman David Catania speaks with principal Tui Roper left and social worker Anita Lewis right during a visit to Burrville Elementary School Jan 16 2012,True,David Catania|Tui Roper|Anita Lewis|Burrville Elementary School Jan 16 2012,0.000824,0.00284,0.002016,0.995144,1500,ok,7,1,0.07297406688118459
116,Grapes ripen at the Raisin Valley Farms cooperative in Kerman where Marvin Horne produces raisins,True,the Raisin Valley Farms|Kerman|Marvin Horne,0.000245,0.000504,0.000259,0.999237,1500,ok,26,2,0.06782139515403003
117,Hyundai Merchant Marine Co s Hyundai Forward container ship approaches a terminal at Busan New Port in Busan South Korea on Sept 9,True,Hyundai Merchant Marine Co s|Hyundai|Busan New Port|Busan South Korea,0.343857,0.442002,0.098145,0.459852,1500,ok,2,1,0.1417304123766592
118,Shimon Peres right signs copies of his book The New Middle East in Budapest,True,Shimon Peres|Budapest,0.0205,0.023163,0.002663,0.974174,1500,ok,8,2,0.06511932650108457
119,Prince William left returns from an active ambulance sortie ahead of the Queen s visit to the new East Anglian Air Ambulance Base at Cambridge Airport in Cambridge England,True,Prince William|East Anglian Air Ambulance Base|Cambridge Airport|Cambridge,-0.999325,0.000108,0.999432,0.00046,1500,ok,18,3,0.12003533716061406
120,Investigators and onlookers gather after a security guard at the Family Research Council was shot and wounded in Washington,True,the Family Research Council|Washington,0.523238,0.70979,0.186553,0.103657,1500,ok,17,1,0.06992317693635405
121,Sarah Brown running while visiting her husband s parents in Lakewood Ranch Fla Brown gave birth recently and is set to compete at the Olympic Trials in July,True,Sarah Brown|Lakewood Ranch|Fla Brown|the Olympic Trials,0.001597,0.005487,0.003889,0.990624,1500,ok,12,2,0.09881537445791146
122,New Jersey man arrested for beating girlfriend s 2yearold son to death,True,New Jersey,-0.004295,0.008321,0.012615,0.979064,1500,ok,3,1,0.09995981568313005
123,Republican presidential candidate Ben Carson smiles during a speech at the National Association of Latino Elected and Appointed Officials,True,Republican|Ben Carson|the National Association of Latino Elected,0.014455,0.019002,0.004547,0.976451,1500,ok,8,2,0.061313252697458756
124,Serena Williams started strong against Roberta Vinci of Italy winning the first set 62 in their US Open semifinal match Friday,True,Serena Williams|Roberta Vinci|Italy|US Open,-0.012257,0.009244,0.0215,0.969256,1500,ok,17,4,0.08173434751088772
125,Media members run after Clinton s motorcade as it arrives at Kirkwood Community College in Monticello Iowa before a small roundtable discussion,True,Clinton|Kirkwood Community College|Monticello Iowa,0.197835,0.316121,0.118286,0.565592,1500,ok,10,2,0.08097543370330525
126,New research measures just how electable each of the candidates is,True,New research measures|just how electable each|the candidates,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
127,After Aiken s runnerup turn on American Idol he launched a performing career that took him to the American Music Awards in 2003 pictured to stadiums and to Broadway,True,Aiken|the American Music Awards|Broadway,-0.01155,0.003227,0.014777,0.981996,1500,ok,24,2,0.08217707982587144
128,The face of a winner World Chili Eating Championship victor Joey Chestnut films a commercial in Bethesda,True,Joey Chestnut|Bethesda,0.003433,0.004118,0.000684,0.995198,1500,ok,17,2,0.08148619904131224
129,President Obama and his wife Michelle bid farewell to Rev Luis Leon after attending a Sunday morning service at St John s Church,True,Obama|Michelle|Rev Luis Leon|St John s Church,0.002945,0.006928,0.003983,0.989089,1500,ok,10,2,0.04870140636682568
130,A bouquet of flowers on the anchor outside the Washington Navy Yard complex,True,Washington Navy Yard,0.002851,0.004102,0.001251,0.994647,1500,ok,7,1,0.10395135054976894
131,Ukrainian sappers ride on a truck used for neutralizing shells which were left by proRussia fighters near Slovyansk Ukraine,True,Ukrainian|proRussia|Slovyansk|Ukraine,0.095202,0.139633,0.044431,0.815936,1500,ok,13,3,0.06962501231843092
132,Residents in Charlotte walk near a solidwall bridge being built as part of the city s 93mile extension of its lightrail Blue Line,True,Charlotte,0.686341,0.802233,0.115892,0.081874,1134,ok,14,1,0.08400874603906128
133,Clinton shakes hands with a supporter during a rally in Winterville,True,Clinton|Winterville,0.223713,0.420397,0.196684,0.382918,1500,ok,8,2,0.09305315238670162
134,Mayor Cory Booker arrives at the polls in Newark to vote in the primary,True,Cory Booker|Newark,-0.095834,0.011578,0.107411,0.881011,1500,ok,13,2,0.10698565416726057
135,Norwegian Prime Minister Erna Solberg with European Commission President JeanClaude Juncker in Brussels,True,Norwegian|Erna Solberg|European Commission|JeanClaude Juncker,-0.138401,0.368277,0.506678,0.125045,1500,ok,22,3,0.09582376326851287
136,An elderly woman crosses a street inTokyo Japan on Tuesday June 16 2015,True,Japan,0.003752,0.012926,0.009174,0.9779,1500,ok,4,1,0.030319056576279285
137,A proposed law would prohibit companies from imposing penalties or fees against reviewers,True,A proposed law|companies|penalties|fees,0.022452,0.026735,0.004284,0.968981,1500,ok,24,3,0.04452525598332404
138,Parking restrictions are posted on meters around the areas where inaugural events will be held Street parking will be limited for security reasons,True,Parking restrictions|meters|the areas|inaugural events,-0.147966,0.125333,0.273299,0.601368,1089,ok,7,1,0.0
139,Crews worked on a sinkhole on Jones Mills Road in Chevy Chase Md,True,Jones Mills Road|Chevy,0.000121,0.000476,0.000354,0.99917,1500,ok,4,1,0.011344359732581738
140,A man walks on debris in Tacloban Thousands of people are feared buried in the rubble,True,Tacloban Thousands,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
141,During the stadium announcement Mayor Vincent C Gray is flanked by Jason Levien left DC United managing partner and Allen Y Lew right city administrator for the District,True,Vincent C Gray|Jason Levien|DC United|Allen Y Lew,-0.997817,0.000163,0.997979,0.001858,1500,ok,12,2,0.07751631099695101
142,William and Catherine with their two children Prince George and Princess Charlotte at Kensington Palace in London,True,William|Catherine|Prince George|Princess Charlotte,0.002204,0.005879,0.003674,0.990447,1500,ok,20,4,0.08718616005902985
143,Afghan artists talk as they attend a graduation ceremony at Turquoise Mountain Institute in Kabul on March 2,True,Afghan|Turquoise Mountain Institute|Kabul,0.192296,0.195159,0.002863,0.801979,1500,ok,10,2,0.0585945617123183
