idx,caption,label,entities,factcheck_score,entailment_score,contradiction_score,neutral_score,wiki_context_length,status
33,Stelfox s also starred in Common As Muck and Making Out,True,Stelfox|Muck,0.005821,0.007101,0.00128,0.99162,463,ok
34,The two crashes caused hours of delays on the motorway and surrounding roads,True,The two crashes|hours|delays|the motorway,0.000811,0.008127,0.007317,0.984556,1618,ok
35,BBC Newsnight s Paul Mason spoke to migrants who claimed that they were pushed back from Spanish waters,True,BBC|Paul Mason|Spanish,0.000814,0.001152,0.000339,0.998509,2772,ok
36,The city council is responsible for removing the sperm whale s carcass,True,The city council|the sperm whale|carcass,0.617461,0.761147,0.143686,0.095167,381,ok
37,Stelfox was in the first series of Keeping Up Appearances with Judy Cornwell,True,Judy Cornwell,-0.00016,0.000359,0.000518,0.999123,385,ok
38,Conservative chairman Grant Shapps said Britain had negotiated lots of impossible things from the EU,True,Grant Shapps|Britain|EU,-5e-06,0.003585,0.003589,0.992826,3477,ok
39,Horsing around Mr Trippe helped save this horse two weeks ago,True,Trippe,0.006924,0.007121,0.000198,0.992681,29,ok
40,The ship listed and sank on 16 April 2014 capsizing over a threehour period,True,The ship|16 April|a threehour period,-0.172147,0.021149,0.193295,0.785556,141,ok
41,I asked my mate to take a couple of photos he was nt too keen but he took them Mr Trippe told the BBC,True,Trippe|BBC,0.000559,0.000709,0.00015,0.999141,1536,ok
42,Qantas was one of the airlines that rolled the fuel charge into its basic fare last year,True,Qantas,0.000183,0.000282,9.9e-05,0.999619,1509,ok
43,The government wants to get net migration below 100000 a year,True,The government|net migration,0.008837,0.013993,0.005156,0.980852,2092,ok
44,BA is one of the airlines charging a carrier imposed surcharge,True,BA,0.000729,0.003388,0.00266,0.993952,71,ok
45,The Bunker Diary is one of ten Young Adult novels from author Kevin Brooks,True,Young Adult|Kevin Brooks,0.000163,0.000884,0.000721,0.998395,1935,ok
46,The Sewol ferry disaster left 304 people mostly teenage students dead or missing,True,Sewol,0.000457,0.000474,1.6e-05,0.99951,268,ok
47,Damien Hirst s The Physical Impossibility of Death in the Mind of Someone Living was commissioned by art collector Charles Saatchi,True,Damien Hirst|Charles Saatchi,0.000104,0.00053,0.000426,0.999043,2134,ok
48,There is evidence the children were thrown down the well after the adults,True,evidence|the children|the adults,0.1366,0.141858,0.005258,0.852883,1511,ok
49,Los Zetas leader Omar Trevino was arrested by the Mexican authorities in March,True,Los Zetas|Omar Trevino|Mexican,-0.00023,0.000228,0.000458,0.999314,1544,ok
50,Ryan Newman driver of the No 39 Chevrolet was born in South Bend Indiana on December 8 1977,True,Ryan Newman|Chevrolet|South Bend Indiana,-0.000224,0.00056,0.000784,0.998657,1783,ok
51,Northwestern s Brian Arnfelt hosts the Gator Bowl trophy after the 3420 win over Mississippi State,True,Northwestern|Brian Arnfelt|the Gator Bowl|Mississippi,0.003735,0.005419,0.001683,0.992898,2159,ok
52,Demonstrators shout insults at members of the Baltimore Police as they stand guard outside the Western District station,True,the Baltimore Police|Western District,0.002885,0.003248,0.000363,0.996389,49,ok
53,With new seatback systems expanded video libraries and even iPads loaded with programs and games airlines are upgrading the inflight entertainment for passengers,True,iPads,5.5e-05,0.000383,0.000328,0.999289,1508,ok
54,A US Navy boat conducts an exercise in the Arabian Sea on June 12 2012,True,US Navy|the Arabian Sea,0.000959,0.002262,0.001303,0.996435,2193,ok
55,The outlook for US airlines is sunny according to a trade group,True,US,0.00088,0.002271,0.001391,0.996338,1505,ok
56,The leaderboard tells the story Tiger Woods is in front leading into the final round Woods actually birdied the 18th to get to 18 under,True,Tiger Woods|Woods,0.000382,0.000748,0.000366,0.998886,1555,ok
57,At the Ralph Lauren Fall 2009 fashion show during New York Fashion Week on February 20 2009,True,the Ralph Lauren|New York Fashion Week,0.000985,0.001129,0.000145,0.998726,1350,ok
58,Nebraska coach Mike Riley and former Oregon State student and sexual assault victim Brenda Tracy met for the first time Wednesday in Lincoln Neb,True,Nebraska|Mike Riley|Oregon State|Brenda Tracy,-0.001612,0.001272,0.002884,0.995843,2982,ok
59,Cast members Chris Evans left Samuel L Jackson and Tom Hiddleston were on hand to accept the movie of the year award for Marvel s The Avengers,True,Chris Evans|Samuel L Jackson|Tom Hiddleston,-0.007751,0.002461,0.010212,0.987327,3098,ok
60,Nov 15 2014 Mavericks forward Richard Jefferson dunks against the Timberwolves,True,Mavericks|Richard Jefferson|Timberwolves,-0.003157,0.001394,0.004551,0.994055,1115,ok
61,Florida State Seminoles running back Devonta Freeman runs the ball during the first quarter against the Duke Blue Devils at Bank of America Stadium,True,Florida|Seminoles|Devonta Freeman|Bank of America Stadium,-0.004506,0.003554,0.00806,0.988386,4847,ok
62,Runners take off at the start of the Firecracker 5K in Port Carbon Pa,True,Port Carbon Pa,0.0,0.5,0.5,0.0,0,no_wiki_result
63,Michael Dell at the fifth annual Dell Women s Entrepreneur Network meeting in Austin,True,Michael Dell|Dell Women s Entrepreneur Network|Austin,-0.003151,0.001114,0.004265,0.994621,866,ok
64,Houston linebacker Emeke Egbule returns a fumble against for a touchdown against Tulsa,True,Houston|Tulsa,-0.630697,0.004976,0.635673,0.359352,3019,ok
65,The Postal Service is hiring 30000 seasonal workers to handle the overload of mailings,True,The Postal Service,-0.710061,0.013413,0.723474,0.263113,921,ok
66,A giant sculpture of a Giraffe wearing a swimsuit and buoy by artist Jean Francois Fourtou named GiGi is a focal point of Anthem of the Seas exterior decks,True,Giraffe|Jean Francois Fourtou|GiGi|Anthem,0.000629,0.000893,0.000264,0.998843,2130,ok
67,Crews work to clean up Sunday morning in Rehoboth Beach following coastal flooding The storm caused severe coastal erosion and damage to the boardwalk,True,Rehoboth Beach,-0.021618,0.00033,0.021948,0.977723,1043,ok
68,Parents and Danvers High School students hold candlelight vigil to mourn the death of Colleen Ritzer a 24yearold math teacher at Danvers High School on Wednesday Oct 23 2013,True,Danvers High School|Colleen Ritzer,0.889267,0.889415,0.000148,0.110437,171,ok
69,Businessman and coowner of the Philadelphia Inquirer Lewis Katz walks from a courtroom in City Hall in Philadelphia on Oct 28 2013,True,the Philadelphia Inquirer Lewis Katz|City Hall|Philadelphia,0.011646,0.02024,0.008594,0.971166,3028,ok
70,Michael Dunn is brought into the Duval County Courthouse in Jacksonville Fla for a hearing on Aug 15 2013,True,Michael Dunn|Jacksonville Fla,-0.02971,0.252955,0.282665,0.46438,1129,ok
71,West Virginia Mountaineers head coach Dana Holgorsen speaks to the media during the Big 12 Media Day at the Omni Dallas,True,Dana Holgorsen|Omni|Dallas,0.001074,0.0019,0.000827,0.997273,1994,ok
72,Sanders speaks about the Workplace Democracy Act on Capitol Hill on Oct 6 2015,True,Sanders|Capitol Hill,0.002417,0.002833,0.000416,0.996751,1082,ok
73,George Clooney attends the Money Monster press conference during the 69th annual Cannes Film Festival,True,George Clooney|Money Monster|Cannes Film Festival,-8.7e-05,0.000327,0.000414,0.999258,2929,ok
74,Navy Midshipmen march on the the field prior to the game against the Fordham Rams at Navy Marine Corps Memorial Stadium,True,Navy|the Fordham Rams|Navy Marine Corps Memorial,-0.000189,0.001867,0.002055,0.996078,1186,ok
75,Game 1 Tigers shortstop Jhonny Peralta hits an RBI single against the Red Sox during the sixth inning at Fenway Park,True,Jhonny Peralta|RBI|the Red Sox|Fenway Park,0.000573,0.002135,0.001562,0.996303,4598,ok
76,No 7 Los Angeles A view of downtown taken in 2012,True,Los Angeles|A view|downtown,0.003912,0.004623,0.000711,0.994667,2156,ok
77,In this Oct 10 2015 file photo North Korean leader Kim Jong Un gestures as he watches a military parade in Pyongyang North Korea,True,North Korean|Kim Jong Un|Pyongyang|North Korea,0.001279,0.001618,0.000339,0.998042,4800,ok
78,Two women react to the not guilty verdict outside the Seminole County Courthouse in Sanford Fla,True,Seminole County Courthouse|Sanford Fla,-0.0421,0.001012,0.043112,0.955876,187,ok
79,Butler guard Kellen Dunham and forward Roosevelt Jones will both be back to lead the Bulldogs in 201516,True,Butler|Kellen Dunham|Roosevelt Jones|Bulldogs,0.007205,0.011471,0.004265,0.984264,4316,ok
80,Unidentified armed men in military style uniforms patrol near an airport building in Simferopol,True,Simferopol,0.005115,0.009697,0.004582,0.985722,912,ok
81,Leona Helmsley seen with husband Harry Helmsley was convicted in 1989 of evading 12 million in federal taxes,True,Leona Helmsley|Harry Helmsley,0.00215,0.003968,0.001817,0.994215,1418,ok
82,Notre Dame blew a late 12point lead before sinking the goahead bucket with 16 seconds left,True,Notre Dame,0.957758,0.959954,0.002196,0.03785,312,ok
83,May Myat Noe winner of Miss Asia Pacific World Super talent 2014 holds her crown during a press conference in Yangon on Sept 2 2014,True,May Myat Noe|Miss Asia Pacific World Super|Yangon,-0.000138,0.000415,0.000554,0.999031,1628,ok
84,San Francisco 49ers cornerback Tramaine Brock breaks up the pass intended for Arizona Cardinals wide receiver Jaron Brown at Levi s Stadium,True,San Francisco|Tramaine|Brock|Arizona Cardinals,-0.993848,0.000445,0.994293,0.005262,3393,ok
85,Jordan Linn Graham center leaves the federal courthouse in Missoula Mont on Oct 4,True,Jordan Linn Graham|Missoula Mont,0.0,0.5,0.5,0.0,0,no_wiki_result
86,One of the heavy machines in Facebook s new hardware lab is a 5axis water jet that can cut sheets of any material from steel to granite,True,Facebook,1e-05,0.000128,0.000118,0.999754,1511,ok
87,A Turkish antiriot police officer and an employee of a private security company patrols check as passengers enter the Ataturk airport international arrival terminal on June 29 2016,True,Turkish|Ataturk,0.004387,0.006449,0.002062,0.991489,2128,ok
88,London McCabe s uncle said the happy little boy loved hats,True,London McCabe s,0.0,0.5,0.5,0.0,0,no_wiki_result
89,Dale Earnhardt Jr saw his day end early after getting caught up in two different crashes,True,Dale Earnhardt Jr,0.000592,0.004935,0.004344,0.990721,1520,ok
90,This screenshot from 930 am ET shows snow moving across the midAtlantic and Northeast,True,midAtlantic|Northeast,0.000454,0.002993,0.002539,0.994468,859,ok
91,American Airlines shows off its new look unveiling this Boeing 737800 in updated livery at a ceremony near its Texas headquarters on Jan 17 2013,True,American Airlines|Boeing|Texas,-0.001884,0.001738,0.003622,0.994639,3986,ok
92,A joint memorial service is held in Ansan South Korea to mark the one year anniversary of the Sewol ferry disaster Video provided by AFP,True,Ansan South Korea|Sewol|AFP,0.003162,0.004269,0.001107,0.994625,408,ok
93,A ceramicandconcrete octopus rises from the playa dust at Burning Man The artist said he wanted to design something that Burners would interact with,True,A ceramicandconcrete octopus|the playa dust|Burning Man|The artist,0.017217,0.017929,0.000712,0.981359,1663,ok
94,Fashion designer Zac Posen speaks at a Delta event unveiling the airline s new uniforms which Posen helped design,True,Zac Posen|Delta|Posen,0.764828,0.772448,0.00762,0.219932,383,ok
95,Will and Kate look delighted as they visit the XLP mentoring project for vulnerable youths,True,Kate|XLP,0.000433,0.00281,0.002377,0.994813,49,ok
96,George Clooney and Jennifer Lopez in a scene from the motion picture Out of Sight,True,George Clooney|Jennifer Lopez,2e-05,0.000428,0.000408,0.999164,3035,ok
97,Yoenis Cespedes hoists the championship trophy after winning the 2014 Home Run Derby at Target Field,True,Yoenis Cespedes|Target Field,-0.001726,0.001195,0.002921,0.995884,1748,ok
98,A pleasurable way to visit Finca El Ocaso an organic farm outside of Salento is to walk through the scenic countryside down a rapidlydescending road,True,Finca El Ocaso|Salento,-0.783674,0.055783,0.839458,0.104759,581,ok
99,Traders work on the floor of the New York Stock Exchange,True,the New York Stock Exchange,0.001903,0.002291,0.000388,0.997321,779,ok
100,Robert Ethan Saylor is seen here in this family photo taken during a summer festival in 2012,True,Robert Ethan Saylor,0.0,0.5,0.5,0.0,0,no_wiki_result
101,Corbin Aoyagi a supporter of gay marriage waves a rainbow flag during a rally at the Utah State Capitol on Jan 28,True,Corbin Aoyagi|Utah|Capitol,-0.883622,0.001695,0.885317,0.112989,1564,ok
102,Veterans from the Kansas Honor Flight watch as the Sentinels begin the Changing of the Guard ceremony,True,Kansas,-0.011777,0.001806,0.013582,0.984612,1509,ok
103,Jim Lehrer moderates a debate between President Bill Clinton and Republican nominee Bob Dole at the Bushnell Center for Performing Arts in Hartford Conn in 1996,True,Jim Lehrer|Bill Clinton|Republican|Bob Dole,0.00281,0.007162,0.004352,0.988486,3588,ok
104,Swiss Guards stand below the balcony where the new pope will appear,True,Swiss Guards,0.000302,0.00484,0.004539,0.990621,1129,ok
105,Civilians who fled the recent fighting stack their belongings up outside the gate of the United Nations Mission in South Sudan,True,the United Nations Mission,0.0,0.5,0.5,0.0,0,no_wiki_result
106,US first lady Michelle Obama enters the East Room for a session of a Fashion Education Workshop at the White House on Oct 8 in Washington DC,True,US|Michelle Obama|the East Room|a Fashion Education Workshop,0.000874,0.001008,0.000135,0.998857,2971,ok
107,A woman lies on a bed at a hospital after she was injured in the earthquake,True,A woman|a bed|a hospital|she,0.977508,0.977837,0.00033,0.021833,125,ok
108,People stand under loudspeakers installed for a Hindu festival on a roadside in the northern Indian city of Allahabad,True,Hindu|Indian|Allahabad,0.001256,0.001727,0.000471,0.997803,3062,ok
109,Colombian President Juan Manuel Santos speaks about the current situation in Colombia at the Wilson Center in Washington on Feb 2,True,Colombian|Juan Manuel Santos|Colombia|the Wilson Center,0.001018,0.002004,0.000986,0.997009,5215,ok
110,There has been little investigation into burneddown bars or who sprayed bullets into the facade of the El Rincon del Angus steakhouse,True,the El Rincon del Angus,0.0,0.5,0.5,0.0,0,no_wiki_result
111,Ryan Murphy of the United States wins gold in the 100 meter backstroke,True,Ryan Murphy|the United States,0.001209,0.003695,0.002486,0.99382,1560,ok
112,Redskins running back Matt Jones gets past Ravens cornerback Anthony Levine in the third quarter,True,Redskins|Matt Jones|Ravens|Anthony Levine,-0.002852,0.000283,0.003135,0.996582,940,ok
113,Moseley also painted the walls of the laundry room at Birmingham Green,True,Moseley|Birmingham Green,-0.000325,0.00011,0.000436,0.999454,367,ok
114,A boy wanders through a field of rice near Dia on Aug 18,True,Dia,0.004396,0.00476,0.000364,0.994876,30,ok
115,Councilman David Catania speaks with principal Tui Roper left and social worker Anita Lewis right during a visit to Burrville Elementary School Jan 16 2012,True,David Catania|Tui Roper|Anita Lewis|Burrville Elementary School Jan 16 2012,-0.381663,0.009566,0.391229,0.599204,271,ok
116,Grapes ripen at the Raisin Valley Farms cooperative in Kerman where Marvin Horne produces raisins,True,the Raisin Valley Farms|Kerman|Marvin Horne,-0.018933,0.002874,0.021808,0.975318,888,ok
117,Hyundai Merchant Marine Co s Hyundai Forward container ship approaches a terminal at Busan New Port in Busan South Korea on Sept 9,True,Hyundai Merchant Marine Co s|Hyundai|Busan New Port|Busan South Korea,0.361432,0.467592,0.10616,0.426248,1510,ok
118,Shimon Peres right signs copies of his book The New Middle East in Budapest,True,Shimon Peres|Budapest,0.000663,0.004614,0.00395,0.991436,3027,ok
119,Prince William left returns from an active ambulance sortie ahead of the Queen s visit to the new East Anglian Air Ambulance Base at Cambridge Airport in Cambridge England,True,Prince William|East Anglian Air Ambulance Base|Cambridge Airport|Cambridge,-0.776494,0.019457,0.795951,0.184592,3749,ok
120,Investigators and onlookers gather after a security guard at the Family Research Council was shot and wounded in Washington,True,the Family Research Council|Washington,0.010012,0.0134,0.003388,0.983212,415,ok
121,Sarah Brown running while visiting her husband s parents in Lakewood Ranch Fla Brown gave birth recently and is set to compete at the Olympic Trials in July,True,Sarah Brown|Lakewood Ranch|Fla Brown|the Olympic Trials,-0.000351,0.000234,0.000585,0.99918,914,ok
122,New Jersey man arrested for beating girlfriend s 2yearold son to death,True,New Jersey,-0.009905,0.011342,0.021248,0.96741,1513,ok
123,Republican presidential candidate Ben Carson smiles during a speech at the National Association of Latino Elected and Appointed Officials,True,Republican|Ben Carson|the National Association of Latino Elected,0.011721,0.026091,0.014369,0.95954,1551,ok
124,Serena Williams started strong against Roberta Vinci of Italy winning the first set 62 in their US Open semifinal match Friday,True,Serena Williams|Roberta Vinci|Italy|US Open,-0.005126,0.003481,0.008607,0.987912,5759,ok
125,Media members run after Clinton s motorcade as it arrives at Kirkwood Community College in Monticello Iowa before a small roundtable discussion,True,Clinton|Kirkwood Community College|Monticello Iowa,-0.014288,0.001913,0.016201,0.981887,514,ok
126,New research measures just how electable each of the candidates is,True,New research measures|just how electable each|the candidates,0.0,0.5,0.5,0.0,0,no_wiki_result
127,After Aiken s runnerup turn on American Idol he launched a performing career that took him to the American Music Awards in 2003 pictured to stadiums and to Broadway,True,Aiken|the American Music Awards|Broadway,0.019503,0.048435,0.028932,0.922632,61,ok
128,The face of a winner World Chili Eating Championship victor Joey Chestnut films a commercial in Bethesda,True,Joey Chestnut|Bethesda,0.002161,0.002577,0.000416,0.997008,1381,ok
129,President Obama and his wife Michelle bid farewell to Rev Luis Leon after attending a Sunday morning service at St John s Church,True,Obama|Michelle|Rev Luis Leon|St John s Church,0.00021,0.007364,0.007154,0.985481,1542,ok
130,A bouquet of flowers on the anchor outside the Washington Navy Yard complex,True,Washington Navy Yard,0.001271,0.001702,0.000431,0.997867,1284,ok
131,Ukrainian sappers ride on a truck used for neutralizing shells which were left by proRussia fighters near Slovyansk Ukraine,True,Ukrainian|proRussia|Slovyansk|Ukraine,0.011062,0.011791,0.000729,0.98748,3022,ok
132,Residents in Charlotte walk near a solidwall bridge being built as part of the city s 93mile extension of its lightrail Blue Line,True,Charlotte,0.004406,0.016765,0.012359,0.970876,253,ok
133,Clinton shakes hands with a supporter during a rally in Winterville,True,Clinton|Winterville,0.005232,0.006776,0.001544,0.991679,552,ok
134,Mayor Cory Booker arrives at the polls in Newark to vote in the primary,True,Cory Booker|Newark,-0.634242,0.023585,0.657827,0.318588,1728,ok
135,Norwegian Prime Minister Erna Solberg with European Commission President JeanClaude Juncker in Brussels,True,Norwegian|Erna Solberg|European Commission|JeanClaude Juncker,0.014171,0.021911,0.007741,0.970348,3527,ok
136,An elderly woman crosses a street inTokyo Japan on Tuesday June 16 2015,True,Japan,0.005719,0.011101,0.005382,0.983517,1508,ok
137,A proposed law would prohibit companies from imposing penalties or fees against reviewers,True,A proposed law|companies|penalties|fees,0.008039,0.014392,0.006353,0.979254,2546,ok
138,Parking restrictions are posted on meters around the areas where inaugural events will be held Street parking will be limited for security reasons,True,Parking restrictions|meters|the areas|inaugural events,0.003503,0.006707,0.003204,0.990089,1397,ok
139,Crews worked on a sinkhole on Jones Mills Road in Chevy Chase Md,True,Jones Mills Road|Chevy,0.000112,0.000395,0.000283,0.999322,1508,ok
140,A man walks on debris in Tacloban Thousands of people are feared buried in the rubble,True,Tacloban Thousands,0.0,0.5,0.5,0.0,0,no_wiki_result
141,During the stadium announcement Mayor Vincent C Gray is flanked by Jason Levien left DC United managing partner and Allen Y Lew right city administrator for the District,True,Vincent C Gray|Jason Levien|DC United|Allen Y Lew,-0.007036,0.001018,0.008054,0.990928,2046,ok
142,William and Catherine with their two children Prince George and Princess Charlotte at Kensington Palace in London,True,William|Catherine|Prince George|Princess Charlotte,-0.020909,0.002694,0.023603,0.973703,1261,ok
143,Afghan artists talk as they attend a graduation ceremony at Turquoise Mountain Institute in Kabul on March 2,True,Afghan|Turquoise Mountain Institute|Kabul,0.00109,0.001164,7.4e-05,0.998762,1547,ok
144,Egyptian women gather to denounce sexual violence and harassment against women in Cairo,True,Egyptian|Cairo,0.001456,0.001743,0.000287,0.997969,1615,ok
145,Ivanka Trump waits for the start of the third presidential debate at the Thomas Mack Center in Las Vegas,True,Ivanka Trump|the Thomas Mack Center|Las Vegas,-0.023598,0.00808,0.031678,0.960242,2957,ok
146,Cruz of Texas speaks at Woodrow Wilson Middle School in Terre Haute Ind,True,Cruz|Texas|Woodrow Wilson Middle School|Terre Haute Ind,-0.207794,0.00096,0.208754,0.790286,3782,ok
147,Kelvin Sewell poses for a photo with Sarai White 9 outside the City Council chambers,True,Kelvin Sewell|Sarai White 9|City Council,0.879306,0.882904,0.003598,0.113498,1515,ok
148,Villagers of Kabrit watch an ambulance as it prepares to unload the bodies of victims from the crashed Russian airplane,True,Kabrit|Russian,0.303847,0.358492,0.054646,0.586862,723,ok
149,A Ferguson Police officer is overcome with emotion during a vigil held in honor of Jamyla Bolden on August 20 2015 in Ferguson Mo,True,Ferguson Police|Jamyla Bolden|Ferguson Mo,0.0,0.5,0.5,0.0,0,no_wiki_result
150,Tortola the capital of the British Virgin Islands sometimes referred to as the offshore capital of the world 17000 UK companies have been controlled from the BVI,True,Tortola|the British Virgin Islands|UK|BVI,0.001012,0.001316,0.000304,0.99838,4751,ok
151,Charles II s lover Nell Gwyn as captured by an anonymous 17thcentury hand Click to see a larger uncropped version of the painting,True,Charles II s|Nell Gwyn,0.004484,0.004955,0.000471,0.994574,850,ok
152,The Twits are joined by new characters Handsome Waltzer Boy Yorkshire Terrier Man and Tattooed Fortune Teller Lady,True,Handsome Waltzer Boy|Yorkshire Terrier|Fortune Teller,0.000475,0.000567,9.1e-05,0.999342,793,ok
153,Bradley Manning arrives at a military court facility for the sentencing phase of his trial,True,Bradley Manning,0.002092,0.004952,0.002861,0.992187,1518,ok
154,John Boehner said the House of Representatives would deal with immigration reform in chunks,True,John Boehner|the House of Representatives,0.001066,0.001183,0.000118,0.998699,1599,ok
155,Jason Watkins and Monica Dolan as the warring couple in The Twits at the Royal Court adapted by Enda Walsh,True,Jason Watkins|Monica Dolan|the Royal Court|Enda Walsh,0.000653,0.001973,0.00132,0.996707,1207,ok
156,Fresh fringe Uncle Vanya at The Print Room a London fringe venue that opened in September 2010,True,Uncle Vanya|The Print Room a London,-0.017595,0.0023,0.019895,0.977806,1047,ok
157,Holger Osieck exits as Socceroos coach with the Australian team s performance at rock bottom,True,Holger Osieck|Socceroos|Australian,0.84224,0.854613,0.012372,0.133015,1986,ok
158,There are likely to be tens of thousands of empty seats at Twickenham Stadium for the Heineken Cup semifinal between Saracens and Toulon,True,Twickenham Stadium|the Heineken Cup|Saracens|Toulon,0.016198,0.016935,0.000736,0.982329,3814,ok
159,WH Smith has also bought the Wild Cards and Gifts chain in Australia in January which operates 50 small gift shops,True,WH Smith|the Wild Cards|Australia,-0.893913,0.011613,0.905526,0.082862,2646,ok
160,Amazon founder and chief executive Jeff Bezos has made an investment in financial news site Business Insider led by controversial former analyst Henry Blodget,True,Amazon|Jeff Bezos|Business Insider|Henry Blodget,0.001946,0.002677,0.00073,0.996593,3720,ok
161,Vladimir Putin Angela Merkel Francois Hollande and Petro Poroshenko pose for a group photo during the Ukraine peace talks in Minsk,True,Vladimir Putin Angela Merkel Francois Hollande|Ukraine|Minsk,0.002133,0.003512,0.001378,0.99511,2832,ok
162,Jean Dujardin in Lost in Rio one of the spoofspy OSS 117 films,True,Jean Dujardin|Rio|OSS,-0.00275,0.000552,0.003302,0.996146,1510,ok
163,The Shakespeare of Shapiro s book is uncertain about his career,True,Shakespeare|Shapiro,0.001845,0.002077,0.000233,0.99769,1727,ok
